d,res,nq,all,init,config,cons_gen,cons_sol
3,true,9,0.06522989273071289,0.00011992454528808594,0.06116604804992676,0.0004899501800537109,0.003453969955444336
5,true,25,0.11347389221191406,5.3882598876953125e-5,0.10803890228271484,0.0015990734100341797,0.003782033920288086
7,true,49,0.18287110328674316,0.0001220703125,0.1752328872680664,0.0039370059967041016,0.0035791397094726562
9,true,81,0.3027341365814209,9.417533874511719e-5,0.2883598804473877,0.010075092315673828,0.004204988479614258
11,true,121,0.39696478843688965,0.00016689300537109375,0.3514869213104248,0.041635990142822266,0.0036749839782714844
13,true,169,0.5490717887878418,0.00015783309936523438,0.509390115737915,0.03607988357543945,0.0034439563751220703
15,true,225,0.7036738395690918,0.00021886825561523438,0.6466419696807861,0.053286075592041016,0.003526926040649414
17,true,289,1.0229158401489258,0.00022101402282714844,0.9336059093475342,0.08544301986694336,0.0036458969116210938
19,true,361,1.2913498878479004,0.0002689361572265625,1.1435809135437012,0.14295601844787598,0.00454401969909668
21,true,441,1.6756038665771484,0.0003650188446044922,1.4823617935180664,0.18892216682434082,0.003954887390136719
