d,res,nq,all,init,sym_ex,q_sym_ex,cons_gen,cons_sol
3,false,9,0.0796060562133789,7.700920104980469e-5,0.00048613548278808594,0.06189680099487305,0.012202978134155273,0.004943132400512695
5,false,25,0.136915922164917,0.0002110004425048828,0.0006067752838134766,0.10445618629455566,0.013626813888549805,0.018015146255493164
7,false,49,0.4758460521697998,0.00011801719665527344,0.0012772083282470703,0.15854191780090332,0.019661903381347656,0.2962470054626465
9,false,81,0.5799438953399658,0.00012993812561035156,0.0021009445190429688,0.2728691101074219,0.028460979461669922,0.2763829231262207
11,false,121,8.176337957382202,0.00014591217041015625,0.0036220550537109375,0.3559529781341553,0.035546064376831055,7.781070947647095
13,false,169,1.9759130477905273,0.00019097328186035156,0.005857944488525391,0.4997870922088623,0.05428886413574219,1.415788173675537
15,false,225,279.96465611457825,0.0003559589385986328,0.012855052947998047,0.6398639678955078,0.07521295547485352,279.2363681793213
17,false,289,11.562005043029785,0.0008249282836914062,0.01792001724243164,1.0128281116485596,0.11450505256652832,10.415926933288574
19,false,361,14.906958103179932,0.0004482269287109375,0.02276778221130371,1.2486851215362549,0.19092607498168945,13.444130897521973
21,false,441,47.86385989189148,0.0004899501800537109,0.037934064865112305,1.904984951019287,0.18340110778808594,45.73704981803894
